questionnaire_id,subject_patient_id,encounter_id,author_practitioner_id,practitioner_location_id,practitioner_organization_id,practitioner_id,practitioner_careteam_id,application_version,qr_id,add_family_member,add_family_member_2,add_family_member_3,add_family_member_4,add_family_member_5,q_age,add_family_member_7,add_family_member_8,add_family_member_9,add_family_member_10,add_family_member_11,add_family_member_12,choice_gender_identity,choice_pronouns,you_medicaid,add_family_member_16,email_address,add_family_member_18,medicaid_number,other_best_represents,other_biological_sex,other_gender_identity,other_pronouns,other_you_first,phone_number,physical_address,you_first_learn,zip_code,anonymized_at
Questionnaire/221,1ea4ed7e-6643-4327-86ec-d60dc4c5113f,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,15f51ad6-97de-48fc-9f0b-83aa90a9ca0e,,,Female,,"Demo
Demo",,,558573,,12,33,1990-06-05,,,,Sarah,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,0a97bc81-8ea6-4a9b-8c37-6a8f98ec4a53,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,160ac5a0-a7b3-46c3-83d4-bcbff15459da,Date of Birth Unknown,Mwangi,Straight,45,Mwaura,45,,9172663,,,,,Man,He/him/his,,Duncan,faithkanini18@gmail.com,Male,0182662,,,,,,094381318,Kitui,Shelter,,2025-09-11 15:14:42.313387+00
Questionnaire/221,93171568-e491-4189-a251-c0a93fe75dbb,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.0.1-engage,161ff05b-83c5-489c-9420-a630808f9539,Date of Birth Unknown,,Female,33,,33,,,,,,,,,,Nyla,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,4dd6eaae-43ac-47c5-81de-73eb8e8e0210,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,1635ffc2-bf37-4b56-a632-1d080d13e5a3,Date of Birth Unknown,,Male,33,DIvider 1,33,,83749,,,,,,,,Test,,Male,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,086acda6-6306-49f6-b1e1-7ee20aad8ffb,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,1757ddb5-e4b5-4694-a54a-5c83b439be5b,Date of Birth Unknown,The,Bisexual,25,Minion,25,,8272626,,,,,Non-binary,They/them/theirs,,Stuart ,stuart18@gmail.com,Intersex,,,,,,,,Tilisi,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,261a5d7a-b224-441a-be67-f3bad1006106,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,d66f38ae-e5e7-4456-ae85-331284676dc6,Not defined,188d8e93-f2f0-43a8-9c35-369025c5152c,Date of Birth Unknown,,Non-binary,25,,25,,123456789,,,,,,,,Eeyore,,None of these describe me,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,b7b6f91e-121c-48ae-aa76-a185136b41b9,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.2.0-engage,18f55840-5e7a-471f-9cef-298880ac0c1f,Date of Birth Unknown,,,55,Test,55,,111111,,,,,Woman,She/her/hers,,SK1 APK5 Test,,Female,,,,,,,,n/a,,n/a,2025-09-11 15:14:42.313387+00
Questionnaire/221,1ad2aaab-ce46-41c4-81d0-f1b9d415d4ca,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,Not defined,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,Not defined,190256d8-839f-447b-a75c-4d3ca3361a95,,,Non-binary,,Einstein ,,,,,1,59,1965-09-30,,,,Albert,,Intersex,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,b9b6c030-743d-4c73-85e5-94e9aa6c36da,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,1cb02bf2-1ba7-45f8-b2fc-79065e2eef24,Date of Birth Unknown,Kendi,Bisexual,35,Mwajuma,35,,19286227,,,,,Non-binary,They/them/theirs,,Neema,kendi@gmail.com,Intersex,81636,,,,,,3781861,Mbaazi Lane,Shelter,,2025-09-11 15:14:42.313387+00
Questionnaire/221,64b3aa80-f0f8-4a68-b1da-dd266356e33a,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,1cd69fb0-5d92-4677-a206-fcb63af9cf3d,Date of Birth Unknown,,Straight,39,Kimani,39,,08278,,,,,Man,He/him/his,,Bahati,,Male,,,,,,,,Bahati@gmail.com,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,e351ba93-88fa-468e-972a-9f1eefd32d25,,9c38f170-0e63-4e52-9fac-790c1af43cec,b3b8b430-5c7b-46f5-8a48-0d1b4795e116,96650c26-5273-4b91-a19e-65aa25db7f73,9c38f170-0e63-4e52-9fac-790c1af43cec,c6f257d5-1932-4040-aa2a-24921a44251f,2.2.0-engage,1d41d803-d9f1-4a48-9ca7-2d02792b74a5,Date of Birth Unknown,,,34,1,34,,35563,,,,,Man,,,Test user,,Male,,,,,,,,a,,4234,2025-09-11 15:14:42.313387+00
Questionnaire/221,cc7d03be-33d4-4427-932a-97ca1209462d,,5859d5f3-d37b-4a28-a68f-5ce1aaac611f,7a2bad81-130f-4785-8438-af7aac92fedf,602ec278-054a-473e-a553-957bd5ac8c6f,5859d5f3-d37b-4a28-a68f-5ce1aaac611f,83586171-9bac-426a-aae5-798bf548e15e,2.0.2-engage,1d8d41eb-43f2-4821-9585-006ad7ac7751,Date of Birth Unknown,,Female,29,,29,,,,,,,,,,Breke,,Female,,,,,,,,,,,2025-09-11 15:14:42.313387+00
Questionnaire/221,b39f3cc6-5569-484c-96fe-913616d2cbd2,,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,a28a1a10-d6ab-45f2-84f3-8ab4db7850b2,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,e22f62dc-f531-418c-a13d-10385b0f0c4f,2.1.2-engage,1e01ac10-9883-4e2f-b75e-a266945a8b37,Date of Birth Unknown,Mwende,Straight,36,Muli,36,,9172772,,,,,Woman,She/her/hers,,Magdalene,maggie@gmail.com,Female,12345,,,,,,970843160,Kikuyu,Primary healthcare clinic,,2025-09-11 15:14:42.313387+00
